293T                    A549                    K562                    SKNAS                   U2OS                    HepG2                   PGP1-iPS                
#Gene    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate    MutatedCount    TotalCount      Rate
PODNL1.245bp    4257    18530   22.9735564      2275    66755   3.407984421     1543    67790   2.276146924     1892    53908   3.509683164     4386    75233   5.82988848      1095    82144   1.333024932     1358    71846   1.89015394
SLC12A8.221bp   4094    16458   24.87544052     3020    77293   3.907210226     2635    57549   4.578706841     2674    11537   23.1776025      3196    39907   8.008620042     486     42227   1.150922396     1055    57618   1.831025027
CACNA1E.241bp   6032    20485   29.44593605     1845    91604   2.014104188     857     97105   0.882549817     2420    15556   15.55669838     5540    68022   8.144423863     761     72504   1.049597264     851     16056   5.300199302
ABHD11.265bp    5974    23051   25.91644614     1735    75742   2.290670962     1955    69256   2.822860113     1921    54519   3.523542251     4725    25997   18.17517406     395     20160   1.959325397     2108    84114   2.506122643
FMN2.243bp      4631    17511   26.4462338      3771    46359   8.134342846     2792    57529   4.853204471     8339    82707   10.08258068     5300    39121   13.54771095     2840    50454   5.628889682     10704   79451   13.47245472
C14orf182.234bp 3354    20100   16.68656716     435     71141   0.611461745     113     15631   0.722922398     1729    17474   9.894700698     1246    59050   2.110076207     271     15078   1.7973206       53      19487   0.271976189
CRISPLD2.230bp  1794    32864   5.458860759     345     26398   1.306917191     31      3339    0.928421683     490     23969   2.04430723      317     75321   0.420865363     189     21552   0.876948775     124     27868   0.444954787
SF3B3.229bp     1375    23819   5.772702464     503     13116   3.835010674     79      67766   0.116577635     965     80038   1.205677303     252     10223   2.465029835     114     55189   0.206562902     106     97217   0.109034428
FN3K.227bp      608     18730   3.246129204     314     76916   0.408237558     266     77827   0.3417837       452     65764   0.687306125     296     9478    3.123021735     187     7731    2.418833269     398     99682   0.399269678
GSAP.243bp      2770    20479   13.52605108     259     56154   0.461231613     122     21136   0.577214232     823     62908   1.308259681     581     70203   0.82759996      115     42043   0.273529482     228     85378   0.267047717
