Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
A1BG	9	0.136	0.625949493	-0.220	0.951988369	0.096	0.630899802	-0.191	0.670542296
A1CF	7	-0.058	0.742293896	-0.984	0.100374265	0.217	0.386247018	-0.222	0.897305185
A2M	10	-0.100	0.873928788	-0.520	0.837711758	0.220	0.220448874	-0.305	0.88317959
A2ML1	10	-0.403	0.46126789	-0.646	0.579033512	-0.385	0.651563448	-0.439	0.966537896
A4GALT	10	-0.103	0.994964024	-0.582	0.695675486	0.015	0.252269913	-0.488	0.538036848
A4GNT	9	0.078	0.660765397	0.028	0.612188213	-0.134	0.999981366	-0.064	0.955480133
AAAS	9	-1.037	0.400766919	-1.910	0.048685567	-0.767	0.456565885	-0.349	0.735846711
AACS	8	0.139	0.552935128	-0.152	0.792657526	0.245	0.469468646	0.350	0.12407019
AADAC	10	0.060	0.564492946	0.261	0.149786042	0.338	0.46525189	-0.022	0.866312205
AADACL2	10	0.477	0.081737367	0.599	0.00209771	0.133	0.617076233	0.242	0.601825362
AADACL3	10	0.043	0.834010025	-0.136	0.932520839	-0.074	0.759995682	-0.147	0.963831638
AADACL4	10	0.106	0.420557465	-0.495	0.441691894	0.162	0.797091217	0.102	0.795652226
AADAT	10	0.150	0.566966296	0.673	0.001644355	0.167	0.574238861	0.445	0.09572712
AAED1	8	-0.317	0.873227502	-0.039	0.938869887	-0.178	0.92808564	0.152	0.311059717
AAGAB	9	-0.866	0.155128098	-0.474	0.761286088	-0.089	0.975033288	-0.663	0.178882105
AAK1	10	-0.191	0.767888082	-0.770	0.785096655	-0.033	0.676668511	-0.130	0.881573243
AAMDC	10	-0.330	0.264184302	-0.394	0.934978071	-0.133	0.926729146	-0.083	0.8192659
AAMP	9	-2.353	0.000217269	-2.794	0.00676373	-2.376	0.000522726	-1.941	0.001055328
AANAT	9	-0.022	0.834010025	-0.747	0.647907644	0.114	0.775130688	-0.107	0.995558976
AAR2	9	-0.516	0.469361194	-0.234	0.853959473	-0.265	0.551749641	0.163	0.356777954
AARD	10	-0.116	0.994821043	0.245	0.289796532	0.378	0.259675761	0.359	0.199238783
AARS	10	-2.346	0.000486498	-2.924	0.003508845	-2.777	0.000103756	-1.890	0.000310966
AARS2	9	-1.618	0.06168648	-1.526	0.012198979	-0.993	0.010450968	-0.757	0.020313796
AARSD1	9	-0.433	0.432404922	-0.470	0.863145458	-0.282	0.91327574	-0.344	0.853537896
AASDH	9	-0.213	0.487417188	0.578	0.143381959	-0.146	0.995736133	0.356	0.464918979
AASDHPPT	9	-1.754	0.00764959	-0.763	0.16133391	-1.420	0.026016513	-0.161	0.662975358
AASS	10	0.174	0.386081463	0.051	0.240945227	0.263	0.455781011	0.235	0.161616526
AATF	10	-1.343	0.006069	-1.393	0.043489106	-1.719	0.003438071	-1.380	0.000197609
AATK	10	-0.239	0.819807593	-0.460	0.375765046	-0.080	0.734171589	-0.288	0.899016779
ABAT	10	0.064	0.407522724	-0.171	0.511945973	0.107	0.739868907	0.011	0.776971381
ABCA1	8	-0.212	0.735857665	0.122	0.547638589	0.044	0.947146143	0.087	0.92041935
ABCA10	9	0.029	0.588066511	0.475	0.093500366	0.218	0.769089978	0.456	0.041477053
ABCA12	10	0.047	0.29089229	0.023	0.921256943	-0.056	0.926048011	0.420	0.061522244
ABCA13	10	-0.194	0.517760472	-0.036	0.33886885	-0.199	0.916653813	0.026	0.960612692
ABCA2	10	-0.028	0.74449058	-0.346	0.81570152	-0.049	0.222034328	-0.018	0.999090422
ABCA3	8	-0.681	0.43780106	-0.189	0.693973747	-0.390	0.958444821	0.038	0.967465944
ABCA4	10	-0.237	0.805123429	0.107	0.353745432	0.052	0.965444045	0.044	0.636300959
ABCA5	9	0.061	0.50983369	-0.086	0.490630119	0.105	0.832859956	0.131	0.93535013
ABCA6	9	-0.206	0.219737799	-0.140	0.763847481	0.122	0.940845709	0.143	0.459473194
ABCA7	10	-0.405	0.824263916	-0.461	0.908554001	-0.414	0.768007711	-0.119	0.982312761
ABCA8	9	-0.228	0.947969743	-0.623	0.769115028	-0.179	0.928416027	-0.171	0.713617441
ABCA9	10	-0.030	0.858479783	0.064	0.611271714	0.140	0.731876597	0.149	0.597006468
ABCB1	10	0.002	0.825256629	-0.237	0.689458317	0.075	0.971020151	0.007	0.963831638
ABCB10	10	-0.321	0.722992714	-0.313	0.835131494	-0.730	0.111948864	-0.671	0.411357139
ABCB11	10	0.083	0.658536182	-0.437	0.1453334	0.208	0.774962954	0.034	0.719195488
ABCB4	10	0.074	0.384315572	-0.441	0.579033512	0.013	0.897696761	-0.320	0.637035707
ABCB5	10	0.322	0.030594713	0.348	0.105593162	0.128	0.899823582	0.018	0.385131552
ABCB6	8	0.288	0.206936534	0.304	0.431957822	-0.069	0.994673457	0.114	0.775427483
ABCB7	9	-1.775	0.050958117	-2.344	0.003069021	-2.639	0.000360519	-0.868	0.011101029
ABCB8	9	0.396	0.129333172	0.284	0.230358971	0.224	0.85695193	0.315	0.409100611
ABCB9	10	-0.673	0.456821243	-0.701	0.258982002	-0.227	0.777736092	-0.468	0.905869919
ABCC1	9	0.220	0.353876596	-1.433	0.011759962	-0.157	0.990971919	0.334	0.205815694
ABCC10	10	-0.049	0.720943983	-0.587	0.143383907	0.338	0.404447156	-0.029	0.827818991
ABCC11	10	-0.167	0.909143248	-0.369	0.698818695	-0.025	0.957189206	-0.160	0.85381535
ABCC12	10	0.120	0.450780349	0.214	0.350591832	0.546	0.173585922	0.433	0.236764898
ABCC2	9	-0.559	0.20387476	-0.888	0.903186118	-0.458	0.754398978	-0.399	0.666980524
ABCC3	9	-0.498	0.571390095	-1.136	0.72893271	-0.009	0.704844685	-0.315	0.986321192
ABCC4	10	0.141	0.138126353	-0.046	0.685017244	-0.024	0.997331756	0.204	0.095611156
ABCC5	10	0.164	0.532379641	-0.037	0.8432846	0.197	0.812831116	0.300	0.418400268
ABCC6	10	-0.549	0.065472059	-0.511	0.472568056	0.208	0.519584037	0.072	0.766443976
ABCC8	9	0.041	0.653367978	0.036	0.730918819	0.495	0.146730769	0.175	0.748209734
ABCC9	10	0.190	0.402552377	-0.088	0.988829076	0.221	0.857090983	0.193	0.125108089
ABCD1	9	0.225	0.285334306	-0.176	0.775599682	0.287	0.821449737	-0.027	0.98324671
ABCD2	10	-0.186	0.509386879	-0.379	0.567084028	0.127	0.529888633	0.053	0.778789798
ABCD3	9	-0.055	0.772043003	0.105	0.444363571	0.188	0.713766805	-0.049	0.648246651
ABCD4	9	-0.433	0.295157319	-1.236	0.010498768	-0.524	0.426284992	-0.435	0.840771801
ABCE1	10	-1.686	0.016722073	-3.276	0.001114023	-2.151	0.149692686	-2.664	0.000865924
ABCF1	7	-1.523	0.128529108	-2.483	0.010874423	-2.233	0.222194972	-1.305	0.079806251
ABCF2	9	0.190	0.589290737	-0.453	0.514260524	-0.069	0.979291716	-0.324	0.482848393
ABCF3	8	-0.210	0.997891689	-0.037	0.907377652	-0.247	0.999981366	-0.185	0.914292132
ABCG1	10	0.084	0.559033498	-0.388	0.873997867	0.257	0.454904352	0.175	0.497324802
ABCG2	9	-0.310	0.948766165	-0.162	0.514706594	-0.502	0.960618831	-0.221	0.961754883
ABCG4	9	0.073	0.774532189	-0.040	0.504762553	0.048	0.82053137	-0.299	0.899386361
ABCG5	10	-0.093	0.973973312	-0.359	0.966340556	0.134	0.812644377	-0.162	0.518100404
ABCG8	10	-0.055	0.874206316	-1.131	0.611522011	0.130	0.894583203	-0.476	0.633163308
ABHD1	10	-0.036	0.855629568	-0.370	0.997066072	-0.515	0.299967108	-0.183	0.964962759
ABHD10	10	0.095	0.36778573	0.234	0.375765046	0.290	0.223176049	-0.026	0.912067491
ABHD11	10	-2.185	8.37E-05	-1.182	0.026122151	-0.832	0.011796515	-0.081	0.85604425
ABHD12	9	0.062	0.741868324	-0.583	0.26420769	0.051	0.953926558	0.237	0.733552033
ABHD12B	7	-0.035	0.501994222	0.121	0.84487209	0.252	0.783014783	-0.454	0.508350198
ABHD13	10	0.144	0.471150806	0.352	0.190021104	0.102	0.797819149	0.265	0.352147299
ABHD14A	8	-0.006	0.861268721	0.086	0.763301747	0.286	0.135643008	-0.094	0.919304415
ABHD14B	10	-0.305	0.603152343	-0.705	0.53076433	-0.130	0.894184579	-0.107	0.89311634
ABHD15	9	-0.015	0.787987493	0.232	0.104198756	0.108	0.782230541	0.163	0.656554995
ABHD16A	10	-0.818	0.522409505	-1.505	0.106036399	-0.250	0.956481108	-0.177	0.857523529
ABHD16B	10	-0.265	0.581399307	-0.269	0.912816187	-0.249	0.922160491	-0.469	0.93559566
ABHD17A	10	0.180	0.749953152	0.330	0.061274895	-0.076	0.969172433	-0.009	0.75726486
ABHD17B	10	0.255	0.37062456	0.508	0.017539247	0.245	0.344369862	0.003	0.934922536
ABHD17C	8	-0.204	0.850041701	0.346	0.407089571	0.036	0.92058416	0.093	0.564277141
ABHD2	10	-0.655	0.278684462	-0.556	0.76907157	-0.169	0.815295899	0.047	0.323863267
ABHD3	9	-0.252	0.474793687	-0.449	0.656361514	0.052	0.785608451	-0.325	0.851386105
ABHD4	10	0.030	0.735010859	-0.062	0.671236874	-0.055	0.9938019	-0.069	0.999974701
ABHD5	10	-0.163	0.578953192	-0.585	0.483386811	-0.101	0.876522023	-0.292	0.733049439
ABHD6	9	0.147	0.270166865	0.157	0.271053889	0.321	0.816469442	-0.028	0.976931526
ABHD8	9	-0.285	0.873559086	-0.495	0.432883502	-0.264	0.988784832	-0.905	0.394364521
ABI1	10	0.150	0.50797644	0.529	0.090262212	0.209	0.556767415	0.257	0.711104601
ABI2	10	0.135	0.429434431	0.397	0.184468825	-0.078	0.839764949	0.084	0.446666059
ABI3	9	-0.624	0.320219545	-0.374	0.510315583	-0.087	0.96240496	-0.670	0.189498236
ABI3BP	8	-0.119	0.793105294	0.263	0.317819351	0.184	0.772146999	0.142	0.46955479
ABL1	10	-4.261	3.40E-05	-5.218	2.69E-05	0.076	0.751026444	-0.300	0.924999261
ABL2	10	0.081	0.238978158	-0.295	0.961465037	-0.115	0.767360132	-0.059	0.976566956
ABLIM1	10	-0.461	0.318398367	-0.503	0.560767926	-0.814	0.676668511	-0.096	0.341695851
ABLIM2	9	-0.160	0.851526159	0.409	0.086326836	-0.034	0.970009983	-0.362	0.94552429
ABLIM3	10	-0.180	0.643062718	0.162	0.299042925	-0.290	0.985870822	0.265	0.441049701
ABR	9	-0.152	0.825194019	0.246	0.643213821	-0.079	0.978347528	-0.283	0.845968313
ABRA	10	-0.534	0.774915945	-0.387	0.837711758	-0.257	0.837433193	0.217	0.27261781
ABRACL	10	-0.071	0.900988353	0.208	0.506906632	-0.032	0.924049113	0.200	0.504184987
ABT1	8	-1.686	0.000569235	-1.662	0.096197518	-1.720	0.015413363	-1.567	0.000808453
ABTB1	10	0.032	0.88423196	-0.211	0.466650502	-0.122	0.717165985	-0.160	0.405891206
ABTB2	10	0.163	0.306152162	-0.624	0.335500117	0.192	0.713877155	0.068	0.800737078
ACAA1	9	0.137	0.463649067	-0.191	0.917205457	0.090	0.815964406	0.350	0.436588864
ACAA2	10	0.209	0.471301038	0.298	0.163147167	0.389	0.337127395	0.260	0.351858664
ACACA	10	-0.848	0.123367143	-0.244	0.938771433	-0.028	0.980004285	-0.680	0.375621
ACACB	7	-0.040	0.935527614	-0.247	0.952386732	0.254	0.505128891	0.153	0.51326239
ACAD10	10	-0.528	0.492878955	-0.604	0.335597894	0.023	0.638816695	0.079	0.799087298
ACAD11	8	0.039	0.649866567	0.274	0.394026309	0.036	0.915340089	0.095	0.805540329
ACAD8	9	-0.578	0.425603661	-1.117	0.841056828	-0.593	0.998786865	-0.656	0.842050835
ACAD9	9	-0.760	0.008147722	-0.065	0.858414408	-0.522	0.273875308	-0.655	0.030982657
ACADL	10	-0.163	0.724839498	-0.281	0.716322564	-0.058	0.818367504	-0.019	0.426977032
ACADM	9	-0.130	0.843987166	-0.130	0.48756066	0.115	0.621604806	0.106	0.671267573
ACADS	10	-0.078	0.959766304	-0.481	0.553314214	0.130	0.922833384	-0.020	0.789856636
ACADSB	10	-0.004	0.939022604	0.093	0.805831038	-0.063	0.974723378	0.259	0.779561666
ACADVL	10	-0.528	0.179718877	-0.079	0.398756107	-0.299	0.512206314	-0.417	0.549466068
ACAN	8	-0.449	0.2223215	-0.068	0.788258263	-0.157	0.998786865	-0.324	0.366171519
ACAP1	10	-0.354	0.36778573	-0.544	0.719855214	0.140	0.617398704	0.043	0.441823012
ACAP2	8	0.147	0.715847533	-0.439	0.868069998	0.071	0.322740939	-0.169	0.941125402
ACAP3	9	-0.152	0.907082733	-0.337	0.596087225	0.173	0.654544873	-0.249	0.965691337
ACAT1	9	0.257	0.236601521	-0.215	0.623907987	-0.117	0.772362915	-0.222	0.639237815
ACAT2	9	0.098	0.50983369	-0.196	0.943847477	-0.205	0.613385689	-0.151	0.930317663
