name	seq	score	type
Ran_EMX1-sg1	noseq	19.274	on-target
Ran_EMX1-sg1	noseq	19.001	off-target
Ran_EMX1-sg1	noseq	11.564	off-target
Ran_EMX1-sg1	noseq	6.971	off-target
Ran_EMX1-sg1	noseq	4.074	off-target
Ran_EMX1-sg1	noseq	0.006	off-target
Ran_EMX1-sg1	noseq	1.304	off-target
Ran_EMX1-sg1	noseq	0.011	off-target
Ran_EMX1-sg1	noseq	0.012	off-target
Ran_EMX1-sg1	noseq	0.016	off-target
Ran_EMX1-sg1	noseq	0.003	off-target
Ran_EMX1-sg1	noseq	0.207	off-target
Ran_EMX1-sg1	noseq	0.015	off-target
Ran_EMX1-sg1	noseq	0.017	off-target
Ran_EMX1-sg1	noseq	0.118	off-target
Ran_EMX1-sg1	noseq	0.008	off-target
Ran_EMX1-sg1	noseq	0.02	off-target
Ran_EMX1-sg1	noseq	0.009	off-target
Ran_EMX1-sg1	noseq	0.008	off-target
Ran_EMX1-sg2	noseq	11.981	on-target
Ran_EMX1-sg2	noseq	4.919	off-target
Ran_EMX1-sg2	noseq	4.877	off-target
Ran_EMX1-sg2	noseq	7.813	off-target
Ran_EMX1-sg2	noseq	6.055	off-target
Ran_EMX1-sg2	noseq	1.608	off-target
Ran_EMX1-sg2	noseq	1.518	off-target
Ran_EMX1-sg2	noseq	0.76	off-target
Ran_EMX1-sg2	noseq	1.516	off-target
Ran_EMX1-sg2	noseq	0.125	off-target
Ran_EMX1-sg2	noseq	0.182	off-target
Ran_EMX1-sg2	noseq	0.002	off-target
Ran_EMX1-sg2	noseq	0.028	off-target
Ran_EMX1-sg2	noseq	0.068	off-target
Ran_EMX1-sg2	noseq	0.034	off-target
Ran_EMX1-sg2	noseq	0.05	off-target
Ran_EMX1-sg2	noseq	0.011	off-target
Ran_EMX1-sg2	noseq	0.046	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.057	off-target
Ran_EMX1-sg2	noseq	2.181	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.007	off-target
Ran_EMX1-sg2	noseq	0.004	off-target
Ran_EMX1-sg2	noseq	0.281	off-target
Ran_EMX1-sg2	noseq	0.015	off-target
Ran_EMX1-sg2	noseq	0.024	off-target
Ran_EMX1-sg2	noseq	0.002	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.004	off-target
Ran_EMX1-sg2	noseq	0.003	off-target
Ran_EMX1-sg2	noseq	0.043	off-target
Ran_EMX1-sg2	noseq	0.032	off-target
Ran_EMX1-sg2	noseq	0.025	off-target
Ran_EMX1-sg2	noseq	0.006	off-target
