libraryName	minReads	timepoint	guideCountPass	modFreq	wang	wuCrispr	chariRaw	wangOrig	finalGg	crisprScan	finalGc6	chariRank	doench	drsc	ssc	fusi
hart2016-Gbm	0	T21A	4272	1.000	0.275	nan	0.160	0.274	0.080	0.137	0.021	0.157	0.201	0.023	0.247	0.314
hart2016-Gbm	0	T05B	4272	1.000	0.284	nan	0.176	0.284	0.122	0.142	0.038	0.171	0.225	0.023	0.272	0.331
hart2016-Gbm	0	T05A	4272	1.000	0.290	nan	0.182	0.289	0.121	0.138	0.023	0.176	0.230	0.019	0.278	0.338
hart2016-Gbm	0	T21B	4272	1.000	0.273	nan	0.165	0.272	0.085	0.140	0.022	0.161	0.207	0.014	0.248	0.315
hart2016-Gbm	0	T13A	4272	1.000	0.274	nan	0.171	0.274	0.088	0.147	0.029	0.170	0.225	0.027	0.253	0.335
hart2016-Gbm	0	T13B	4272	1.000	0.290	nan	0.177	0.289	0.090	0.132	0.008	0.174	0.229	0.032	0.264	0.335
hart2016-Gbm	0	Avg	4272	1.000	0.310	nan	0.189	0.309	0.104	0.154	0.025	0.185	0.241	0.025	0.286	0.362
hart2016-Gbm	100	T21A	3807	1.000	0.285	nan	0.166	0.286	0.069	0.138	0.030	0.166	0.209	0.018	0.247	0.318
hart2016-Gbm	100	T05B	3807	1.000	0.304	nan	0.182	0.305	0.113	0.143	0.045	0.177	0.238	0.019	0.282	0.338
hart2016-Gbm	100	T05A	3807	1.000	0.303	nan	0.189	0.301	0.120	0.138	0.030	0.186	0.236	0.012	0.280	0.341
hart2016-Gbm	100	T21B	3807	1.000	0.284	nan	0.171	0.284	0.070	0.136	0.029	0.170	0.215	0.013	0.247	0.319
hart2016-Gbm	100	T13A	3807	1.000	0.288	nan	0.179	0.288	0.078	0.149	0.038	0.179	0.232	0.028	0.256	0.338
hart2016-Gbm	100	T13B	3807	1.000	0.302	nan	0.182	0.302	0.083	0.134	0.015	0.180	0.239	0.031	0.265	0.337
hart2016-Gbm	100	Avg	3807	1.000	0.322	nan	0.195	0.322	0.093	0.154	0.033	0.193	0.249	0.023	0.286	0.363
hart2016-Gbm	300	T21A	1687	1.000	0.300	nan	0.178	0.299	0.049	0.135	0.053	0.178	0.256	0.036	0.241	0.354
hart2016-Gbm	300	T05B	1687	1.000	0.331	nan	0.192	0.330	0.082	0.136	0.093	0.184	0.279	0.020	0.279	0.359
hart2016-Gbm	300	T05A	1687	1.000	0.316	nan	0.200	0.310	0.083	0.130	0.085	0.198	0.275	0.029	0.273	0.366
hart2016-Gbm	300	T21B	1687	1.000	0.301	nan	0.180	0.300	0.048	0.137	0.054	0.179	0.260	0.033	0.242	0.355
hart2016-Gbm	300	T13A	1687	1.000	0.315	nan	0.210	0.311	0.076	0.147	0.075	0.211	0.277	0.042	0.280	0.384
hart2016-Gbm	300	T13B	1687	1.000	0.315	nan	0.198	0.317	0.066	0.158	0.050	0.197	0.273	0.039	0.266	0.371
hart2016-Gbm	300	Avg	1687	1.000	0.335	nan	0.207	0.334	0.069	0.152	0.070	0.205	0.289	0.037	0.281	0.393
hart2016-Hct1161lib1	0	Avg	4293	1.000	0.343	nan	0.205	0.336	0.111	0.174	0.001	0.201	0.262	0.030	0.306	0.364
hart2016-Hct1161lib1	0	T9A	4293	1.000	0.290	nan	0.164	0.281	0.102	0.138	-0.000	0.158	0.220	0.029	0.266	0.294
hart2016-Hct1161lib1	0	T9B	4293	1.000	0.269	nan	0.161	0.264	0.091	0.140	-0.005	0.161	0.198	0.028	0.239	0.277
hart2016-Hct1161lib1	0	T15B	4293	1.000	0.246	nan	0.138	0.245	0.070	0.144	0.009	0.137	0.179	0.029	0.210	0.269
hart2016-Hct1161lib1	0	T15A	4293	1.000	0.244	nan	0.160	0.238	0.079	0.126	0.003	0.158	0.193	0.023	0.224	0.267
hart2016-Hct1161lib1	0	T18A	4293	1.000	0.273	nan	0.172	0.268	0.073	0.137	-0.004	0.168	0.210	0.038	0.249	0.285
hart2016-Hct1161lib1	0	T12B	4293	1.000	0.250	nan	0.142	0.247	0.071	0.143	0.017	0.138	0.185	0.027	0.209	0.259
hart2016-Hct1161lib1	0	T12A	4293	1.000	0.221	nan	0.130	0.217	0.064	0.109	-0.013	0.126	0.190	0.014	0.208	0.248
hart2016-Hct1161lib1	0	T18B	4293	1.000	0.202	nan	0.130	0.198	0.072	0.114	0.010	0.128	0.157	0.010	0.184	0.239
hart2016-Hct1161lib1	0	T6A	4293	1.000	0.228	nan	0.137	0.221	0.095	0.108	-0.015	0.137	0.168	0.004	0.194	0.232
hart2016-Hct1161lib1	0	T6B	4293	1.000	0.215	nan	0.118	0.211	0.077	0.077	0.001	0.115	0.162	0.012	0.196	0.213
hart2016-Hct1161lib1	100	Avg	4180	1.000	0.347	nan	0.207	0.339	0.116	0.176	0.011	0.202	0.261	0.033	0.308	0.363
hart2016-Hct1161lib1	100	T9A	4180	1.000	0.295	nan	0.163	0.285	0.104	0.141	0.006	0.157	0.215	0.031	0.269	0.291
hart2016-Hct1161lib1	100	T9B	4180	1.000	0.272	nan	0.161	0.265	0.094	0.145	0.000	0.161	0.193	0.031	0.240	0.274
hart2016-Hct1161lib1	100	T15B	4180	1.000	0.250	nan	0.140	0.248	0.071	0.142	0.018	0.138	0.179	0.032	0.212	0.267
hart2016-Hct1161lib1	100	T15A	4180	1.000	0.245	nan	0.160	0.239	0.082	0.128	0.010	0.157	0.192	0.024	0.225	0.266
hart2016-Hct1161lib1	100	T18A	4180	1.000	0.273	nan	0.172	0.267	0.076	0.140	0.005	0.166	0.209	0.041	0.247	0.281
hart2016-Hct1161lib1	100	T12B	4180	1.000	0.254	nan	0.144	0.250	0.074	0.145	0.023	0.139	0.185	0.027	0.211	0.258
hart2016-Hct1161lib1	100	T12A	4180	1.000	0.226	nan	0.131	0.221	0.071	0.111	-0.005	0.127	0.187	0.016	0.212	0.247
hart2016-Hct1161lib1	100	T18B	4180	1.000	0.205	nan	0.133	0.201	0.070	0.112	0.015	0.130	0.155	0.014	0.184	0.237
hart2016-Hct1161lib1	100	T6A	4180	1.000	0.234	nan	0.144	0.228	0.099	0.108	-0.010	0.145	0.175	0.008	0.195	0.231
hart2016-Hct1161lib1	100	T6B	4180	1.000	0.216	nan	0.120	0.210	0.084	0.077	0.011	0.117	0.165	0.012	0.195	0.216
hart2016-Hct1161lib1	300	Avg	3496	1.000	0.354	nan	0.212	0.345	0.125	0.181	0.028	0.210	0.262	0.022	0.316	0.363
hart2016-Hct1161lib1	300	T9A	3496	1.000	0.305	nan	0.175	0.293	0.112	0.151	0.018	0.169	0.219	0.016	0.279	0.300
hart2016-Hct1161lib1	300	T9B	3496	1.000	0.283	nan	0.167	0.276	0.102	0.151	0.008	0.168	0.203	0.024	0.251	0.281
hart2016-Hct1161lib1	300	T15B	3496	1.000	0.257	nan	0.146	0.254	0.081	0.148	0.035	0.145	0.189	0.028	0.218	0.275
hart2016-Hct1161lib1	300	T15A	3496	1.000	0.245	nan	0.158	0.238	0.077	0.125	0.015	0.154	0.188	0.020	0.227	0.260
hart2016-Hct1161lib1	300	T18A	3496	1.000	0.284	nan	0.179	0.278	0.089	0.147	0.024	0.176	0.213	0.023	0.257	0.278
hart2016-Hct1161lib1	300	T12B	3496	1.000	0.263	nan	0.150	0.257	0.085	0.157	0.031	0.145	0.184	0.022	0.225	0.265
hart2016-Hct1161lib1	300	T12A	3496	1.000	0.242	nan	0.138	0.236	0.088	0.113	0.011	0.135	0.191	0.016	0.225	0.248
hart2016-Hct1161lib1	300	T18B	3496	1.000	0.208	nan	0.138	0.202	0.071	0.113	0.027	0.138	0.155	0.006	0.185	0.242
hart2016-Hct1161lib1	300	T6A	3496	1.000	0.238	nan	0.143	0.230	0.103	0.115	-0.003	0.144	0.172	0.000	0.204	0.228
hart2016-Hct1161lib1	300	T6B	3496	1.000	0.219	nan	0.128	0.212	0.092	0.079	0.029	0.128	0.166	-0.003	0.200	0.216
hart2016-Hct1161lib2	0	Avg	3902	1.000	0.365	nan	0.225	0.365	0.116	0.145	0.008	0.211	0.275	0.015	0.293	0.370
hart2016-Hct1161lib2	0	T9A	3902	1.000	0.259	nan	0.155	0.260	0.098	0.111	-0.010	0.144	0.172	-0.000	0.206	0.250
hart2016-Hct1161lib2	0	T9B	3902	1.000	0.273	nan	0.164	0.276	0.082	0.116	-0.004	0.150	0.224	0.022	0.226	0.287
hart2016-Hct1161lib2	0	T15B	3902	1.000	0.280	nan	0.184	0.279	0.069	0.110	0.033	0.174	0.217	0.004	0.218	0.286
hart2016-Hct1161lib2	0	T15A	3902	1.000	0.243	nan	0.151	0.244	0.088	0.099	-0.006	0.145	0.195	0.012	0.204	0.258
hart2016-Hct1161lib2	0	T18A	3902	1.000	0.256	nan	0.149	0.259	0.073	0.125	-0.002	0.143	0.184	0.017	0.211	0.265
hart2016-Hct1161lib2	0	T12B	3902	1.000	0.270	nan	0.159	0.269	0.062	0.101	0.006	0.151	0.197	0.010	0.217	0.272
hart2016-Hct1161lib2	0	T12A	3902	1.000	0.271	nan	0.192	0.272	0.067	0.097	0.005	0.181	0.218	0.006	0.224	0.274
hart2016-Hct1161lib2	0	T18B	3902	1.000	0.258	nan	0.163	0.257	0.076	0.088	0.009	0.152	0.185	-0.003	0.194	0.270
hart2016-Hct1161lib2	0	T6A	3902	1.000	0.255	nan	0.142	0.254	0.105	0.102	-0.004	0.131	0.204	0.020	0.202	0.251
hart2016-Hct1161lib2	0	T6B	3902	1.000	0.230	nan	0.130	0.226	0.114	0.085	0.028	0.122	0.156	0.027	0.177	0.209
hart2016-Hct1161lib2	100	Avg	3694	1.000	0.367	nan	0.229	0.366	0.117	0.153	0.012	0.215	0.271	0.014	0.293	0.368
hart2016-Hct1161lib2	100	T9A	3694	1.000	0.261	nan	0.157	0.261	0.098	0.117	-0.010	0.147	0.170	-0.002	0.207	0.248
hart2016-Hct1161lib2	100	T9B	3694	1.000	0.277	nan	0.169	0.281	0.083	0.126	-0.003	0.154	0.224	0.022	0.227	0.286
hart2016-Hct1161lib2	100	T15B	3694	1.000	0.283	nan	0.188	0.281	0.067	0.116	0.036	0.177	0.220	0.006	0.217	0.287
hart2016-Hct1161lib2	100	T15A	3694	1.000	0.243	nan	0.155	0.241	0.094	0.102	-0.001	0.149	0.194	0.011	0.204	0.255
hart2016-Hct1161lib2	100	T18A	3694	1.000	0.258	nan	0.153	0.259	0.076	0.129	0.004	0.148	0.181	0.019	0.213	0.263
hart2016-Hct1161lib2	100	T12B	3694	1.000	0.273	nan	0.160	0.270	0.063	0.106	0.006	0.152	0.195	0.011	0.216	0.271
hart2016-Hct1161lib2	100	T12A	3694	1.000	0.273	nan	0.193	0.273	0.069	0.102	0.006	0.182	0.211	-0.001	0.224	0.273
hart2016-Hct1161lib2	100	T18B	3694	1.000	0.262	nan	0.163	0.261	0.074	0.095	0.014	0.152	0.185	-0.000	0.193	0.271
hart2016-Hct1161lib2	100	T6A	3694	1.000	0.261	nan	0.153	0.258	0.110	0.117	-0.004	0.142	0.205	0.014	0.211	0.259
hart2016-Hct1161lib2	100	T6B	3694	1.000	0.233	nan	0.136	0.229	0.115	0.090	0.032	0.128	0.158	0.024	0.180	0.212
hart2016-Hct1161lib2	300	Avg	2791	1.000	0.366	nan	0.234	0.363	0.108	0.177	0.017	0.222	0.266	0.015	0.296	0.385
hart2016-Hct1161lib2	300	T9A	2791	1.000	0.278	nan	0.181	0.277	0.096	0.140	-0.011	0.173	0.184	0.002	0.217	0.278
hart2016-Hct1161lib2	300	T9B	2791	1.000	0.288	nan	0.173	0.291	0.089	0.147	0.010	0.159	0.214	0.029	0.235	0.307
hart2016-Hct1161lib2	300	T15B	2791	1.000	0.282	nan	0.190	0.280	0.056	0.132	0.037	0.182	0.216	-0.002	0.218	0.298
hart2016-Hct1161lib2	300	T15A	2791	1.000	0.245	nan	0.164	0.242	0.082	0.116	0.013	0.159	0.192	0.008	0.206	0.268
hart2016-Hct1161lib2	300	T18A	2791	1.000	0.272	nan	0.158	0.272	0.070	0.147	0.009	0.151	0.191	0.016	0.222	0.285
hart2016-Hct1161lib2	300	T12B	2791	1.000	0.273	nan	0.164	0.269	0.058	0.126	0.013	0.154	0.200	0.018	0.222	0.283
hart2016-Hct1161lib2	300	T12A	2791	1.000	0.273	nan	0.197	0.272	0.060	0.126	0.008	0.187	0.211	0.007	0.232	0.294
hart2016-Hct1161lib2	300	T18B	2791	1.000	0.263	nan	0.171	0.260	0.071	0.122	0.014	0.162	0.183	-0.002	0.203	0.289
hart2016-Hct1161lib2	300	T6A	2791	1.000	0.279	nan	0.170	0.275	0.112	0.133	0.009	0.161	0.205	0.018	0.230	0.281
hart2016-Hct1161lib2	300	T6B	2791	1.000	0.234	nan	0.144	0.230	0.119	0.112	0.024	0.139	0.157	0.024	0.191	0.235
hart2016-Hct1162lib1	0	Avg	4239	1.000	0.306	nan	0.204	0.305	0.082	0.154	0.023	0.199	0.267	0.024	0.284	0.374
hart2016-Hct1162lib1	0	T15C	4239	1.000	0.258	nan	0.177	0.260	0.074	0.139	0.035	0.173	0.221	0.023	0.240	0.304
hart2016-Hct1162lib1	0	T15A	4239	1.000	0.246	nan	0.156	0.247	0.056	0.121	0.020	0.154	0.236	0.048	0.230	0.310
hart2016-Hct1162lib1	0	T15B	4239	1.000	0.252	nan	0.177	0.249	0.056	0.127	-0.007	0.176	0.233	0.003	0.234	0.320
hart2016-Hct1162lib1	0	T08A	4239	1.000	0.272	nan	0.171	0.272	0.072	0.125	0.016	0.164	0.235	0.018	0.257	0.313
hart2016-Hct1162lib1	0	T08B	4239	1.000	0.267	nan	0.179	0.265	0.083	0.148	0.043	0.173	0.220	0.010	0.258	0.312
hart2016-Hct1162lib1	0	T08C	4239	1.000	0.256	nan	0.159	0.254	0.106	0.126	0.026	0.154	0.216	0.009	0.241	0.304
hart2016-Hct1162lib1	0	T18A	4239	1.000	0.232	nan	0.159	0.229	0.049	0.122	0.011	0.157	0.221	0.042	0.222	0.302
hart2016-Hct1162lib1	0	T12C	4239	1.000	0.271	nan	0.180	0.270	0.073	0.134	-0.002	0.172	0.222	0.019	0.249	0.312
hart2016-Hct1162lib1	0	T12B	4239	1.000	0.265	nan	0.178	0.263	0.064	0.142	0.017	0.175	0.224	0.008	0.255	0.332
hart2016-Hct1162lib1	0	T12A	4239	1.000	0.263	nan	0.183	0.259	0.065	0.133	0.015	0.179	0.247	0.032	0.250	0.320
hart2016-Hct1162lib1	0	T18B	4239	1.000	0.233	nan	0.142	0.230	0.061	0.105	0.041	0.138	0.189	0.016	0.205	0.280
hart2016-Hct1162lib1	0	T18C	4239	1.000	0.231	nan	0.160	0.232	0.069	0.113	0.016	0.156	0.192	0.009	0.198	0.298
hart2016-Hct1162lib1	100	Avg	3827	1.000	0.323	nan	0.219	0.318	0.091	0.159	0.048	0.213	0.282	0.027	0.295	0.382
hart2016-Hct1162lib1	100	T15C	3827	1.000	0.274	nan	0.194	0.275	0.085	0.150	0.055	0.187	0.239	0.026	0.251	0.313
hart2016-Hct1162lib1	100	T15A	3827	1.000	0.256	nan	0.169	0.254	0.059	0.129	0.044	0.167	0.253	0.052	0.235	0.316
hart2016-Hct1162lib1	100	T15B	3827	1.000	0.264	nan	0.185	0.259	0.060	0.127	0.007	0.184	0.240	0.009	0.240	0.327
hart2016-Hct1162lib1	100	T08A	3827	1.000	0.289	nan	0.187	0.286	0.082	0.126	0.039	0.179	0.247	0.029	0.272	0.318
hart2016-Hct1162lib1	100	T08B	3827	1.000	0.279	nan	0.193	0.276	0.095	0.151	0.069	0.185	0.234	0.007	0.266	0.320
hart2016-Hct1162lib1	100	T08C	3827	1.000	0.279	nan	0.177	0.275	0.123	0.134	0.051	0.170	0.233	0.015	0.257	0.320
hart2016-Hct1162lib1	100	T18A	3827	1.000	0.248	nan	0.175	0.242	0.060	0.128	0.032	0.172	0.235	0.039	0.231	0.310
hart2016-Hct1162lib1	100	T12C	3827	1.000	0.295	nan	0.201	0.292	0.082	0.140	0.020	0.190	0.241	0.019	0.266	0.327
hart2016-Hct1162lib1	100	T12B	3827	1.000	0.279	nan	0.183	0.275	0.072	0.145	0.037	0.180	0.236	0.009	0.263	0.340
hart2016-Hct1162lib1	100	T12A	3827	1.000	0.279	nan	0.199	0.271	0.069	0.141	0.038	0.194	0.259	0.036	0.261	0.329
hart2016-Hct1162lib1	100	T18B	3827	1.000	0.243	nan	0.148	0.238	0.064	0.104	0.058	0.143	0.197	0.022	0.211	0.286
hart2016-Hct1162lib1	100	T18C	3827	1.000	0.247	nan	0.177	0.246	0.077	0.118	0.035	0.172	0.206	0.007	0.211	0.306
hart2016-Hct1162lib1	300	Avg	2163	1.000	0.358	nan	0.246	0.350	0.096	0.187	0.078	0.239	0.297	0.033	0.328	0.407
hart2016-Hct1162lib1	300	T15C	2163	1.000	0.298	nan	0.199	0.298	0.083	0.168	0.083	0.192	0.239	0.048	0.279	0.315
hart2016-Hct1162lib1	300	T15A	2163	1.000	0.291	nan	0.203	0.288	0.076	0.167	0.063	0.201	0.265	0.057	0.274	0.353
hart2016-Hct1162lib1	300	T15B	2163	1.000	0.295	nan	0.215	0.287	0.056	0.138	0.026	0.211	0.259	0.002	0.270	0.364
hart2016-Hct1162lib1	300	T08A	2163	1.000	0.343	nan	0.210	0.334	0.120	0.167	0.081	0.202	0.275	0.019	0.320	0.351
hart2016-Hct1162lib1	300	T08B	2163	1.000	0.329	nan	0.215	0.325	0.110	0.175	0.101	0.208	0.258	0.006	0.306	0.359
hart2016-Hct1162lib1	300	T08C	2163	1.000	0.325	nan	0.219	0.318	0.136	0.170	0.089	0.213	0.272	0.018	0.303	0.368
hart2016-Hct1162lib1	300	T18A	2163	1.000	0.269	nan	0.206	0.259	0.059	0.165	0.060	0.202	0.243	0.051	0.259	0.329
hart2016-Hct1162lib1	300	T12C	2163	1.000	0.321	nan	0.211	0.317	0.076	0.162	0.054	0.203	0.253	0.026	0.287	0.338
