guideName	gcContent	offtargetCount
cho_ccr5	30	14
Wang_TAT_CR-4	36	1
Frock_RAG1B	39	3
Tsai_RNF2	43	1
cho_ccr-1	43	14
cho_c4bpb	47	6
cho_ccr5-2	47	10
cho_ccr5-4	47	14
Wang_WAS_CR-4	52	8
Wang_WAS_CR-3	52	1
Tsai_HEK293_sgRNA2	52	3
cho_ccr5-6	52	13
Frock_EMX	56	14
cho_ccr5-7	56	7
Tsai_EMX1	56	16
Wang_WAS_CR-5	60	4
Tsai_VEGFA_site3	60	60
Tsai_FANCF	60	9
cho_ccr5-8	65	12
Frock_RAG1A	65	11
Tsai_HEK293_sgRNA3	65	6
Tsai_HEK293_sgRNA1	65	10
Kim_HBB	65	3
cho_ccr5-3	65	14
cho_ccr5-5	65	12
Frock_VEGFA	69	39
Tsai_VEGFA_site1	69	22
Kim_VEGF_A	69	11
Tsai_HEK293_sgRNA4	78	134
Tsai_VEGFA_site2	82	152
