Name total_count mutated_count Mutation_frequency_% total_count mutated_count Mutation_frequency_% P-value
On-target 61185 116 0.189588952 63683 50156 78.75885244 < 1E-100
OT1 51349 79 0.15384915 70025 60057 85.7650839 < 1E-100
OT3 183091 25 0.013654412 199889 8710 4.357418367 < 1E-100
HBB_01 17545 11 0.062695925 20839 8 0.038389558 N.A.
HBB_02 38529 12 0.031145371 49256 15 0.030453143 N.A.
HBB_04 41418 0 0 41903 2 0.004772928 0.500261476
HBB_05 38757 191 0.492814201 32199 166 0.515543961 0.67035836
HBB_06 40411 0 0 45257 0 0 1
HBB_07 35167 0 0 47871 0 0 1
HBB_08 57774 2 0.003461765 49075 0 0 N.A.
HBB_09 31317 7 0.022352077 30856 3 0.009722582 N.A.
HBB_10 11367 16 0.140758336 9520 2 0.021008403 N.A.
HBB_11 35323 14 0.039634233 35027 10 0.028549405 N.A.
HBB_12 11264 0 0 11516 0 0 1
HBB_13 46893 0 0 52131 0 0 1
HBB_14 26424 0 0 19528 0 0 1
HBB_15 38642 0 0 36839 0 0 1
HBB_16 22212 0 0 25776 0 0 1
HBB_17 44291 0 0 42975 3 0.006980803 0.119498004
HBB_18 23488 2 0.008514986 24149 0 0 N.A.
HBB_19 36328 2 0.005505395 28245 0 0 N.A.
HBB_20 35373 2 0.00565403 32759 2 0.006105192 1
HBB_21 63236 17 0.026883421 57756 17 0.029434171 0.864341049
HBB_22 56268 9 0.015994882 40123 6 0.014954016 N.A.
HBB_23 47389 7 0.01477136 44136 2 0.004531448 N.A.
HBB_24 48404 0 0 39675 0 0 1
HBB_25 53097 15 0.028250184 46620 2 0.004290004 N.A.
HBB_26 48381 0 0 37433 2 0.005342879 0.190383818
HBB_27 58663 5 0.00852326 54185 2 0.003691058 N.A.
HBB_28 42552 0 0 44982 0 0 1
HBB_29 30589 2 0.006538298 26955 0 0 N.A.
HBB_31 39360 0 0 34571 3 0.008677794 0.102308954
