#Supplementary Data 10 - Total mutation rates observed in 293T with Cas9Sp nuclease												
#Gene	293T (Control#1)	293T (CAS9 + gRNA library only)	293T (CAS9 + gRNA library + Artemis)	293T (CAS9 + gRNA library + TREX2)	293T (CAS9 + gRNA library + TdT)	293T (CAS9 + gRNA library + ddrA)	293T (Control#1) - Total Read Count	293T (CAS9 + gRNA library only) - Total Read Count	293T (CAS9 + gRNA library + Artemis) - Total Read Count	293T (CAS9 + gRNA library + TREX2) - Total Read Count	293T (CAS9 + gRNA library + TdT) - Total Read Count	293T (CAS9 + gRNA library + ddrA) - Total Read Count
ABCC8_chr11_17483303	0	0.068568294	0.045977011	0.082281953	0.091047041	0.053333333	2511	7292	4350	3646	3295	3750
ABCC9_chr12_22068672	0	0	0.036839197	0	0.120307988	0.156678418	3194	9162	5429	4789	4156	2553
ABI1_chr10_27066055	0	1.300487381	1.687731196	3.89131164	1.046856913	0.831811727	15543	41446	25952	20867	19869	19716
ABL1_chr9_133710887	0.067204301	0.178571429	0.414156627	1.006124234	0.391198044	0.51431127	2976	7280	5312	4572	4090	4472
ABL2_chr1_179086468	0	1.159525319	1.141649049	2.465408805	0.823634736	1.095957136	4230	11039	7095	3975	5585	4106
ACKR2_chr3_42906210	0	0.059189109	0.066028392	0.062009095	0	0	3670	10137	6058	4838	4347	4774
ACKR3_chr2_237489282	0	0.926879506	1.086218601	1.907922024	0.193517175	0.631047539	1829	4855	2946	2411	2067	2377
ACSL3_chr2_223783789	0	0.672196796	1.045454545	2.654415518	0.908025776	0.86689038	2515	6992	4400	3918	3414	3576
ACSL6_chr5_131326586	0	1.235033468	1.018489502	1.502145923	1.223740567	0.908915103	3638	10607	6382	5592	4903	5171
ACVR1_chr2_158636893	0	6.263396047	5.541284404	4.329189884	4.549590537	5.382932166	1722	4199	2725	2333	2198	2285
ACVR1B_chr12_52369155	0.037544584	0.912832024	0.652859072	1.043602573	0.636448308	1.092896175	5327	13365	8884	6995	6442	7137
ACVR1C_chr2_158412719	0	0.945829751	2.078364566	1.539101498	0.564705882	0.777537797	1558	4652	2935	2404	2125	2315
ACVR2A_chr2_148653939	0	0.332520505	0.186277554	0.586166471	0.312639571	0.164744646	1811	4511	3221	2559	2239	1214
ACVR2B_chr3_38519728	0	0.526819923	0.280504909	0.27700831	0.332225914	0.825688073	713	2088	1426	1083	903	1090
ACVRL1_chr12_52307061	0	2.148050231	1.937046005	5.23906409	2.104591837	1.700251889	1099	3026	2065	1966	1568	1588
ADCYAP1R1_chr7_31102886	0	0.295937584	0.52796983	0.934579439	0.147758989	0.432415119	4324	11151	7955	6099	6091	6244
ADORA1_chr1_203098271	0	1.132300358	1.993656547	2.806260119	1.149425287	1.385809313	1228	3356	2207	1853	1479	1804
ADORA2A_chr22_24829384	0	1.633410965	1.226394135	2.435446009	1.445568114	1.343190925	13550	31774	22505	17040	16810	17719
ADORA2B_chr17_15848574	0	3.38178582	3.371592539	2.416918429	2.935665209	3.492470362	2463	6742	4182	3310	3202	3121
ADORA3_chr1_112045892	0.145932142	0.148008611	0.297366185	0.307771223	0.181050091	0.238024398	2741	7432	4708	3899	3314	3361
ADRA1A_chr8_26722416	0.081221572	0.531076744	0.31066927	1.269952231	0.323741007	0.298276624	6156	17135	11266	8583	8340	9052
ADRA1B_chr5_159343913	0.091282519	0.423654016	1.298701299	1.541479821	0.556282723	0.28364324	2191	5665	4004	3568	3056	3173
ADRA1D_chr20_4229574	0	1.280198224	1.283880171	3.81303813	0.91954023	1.176917236	1876	4843	3505	2439	2610	2634
ADRA2A_chr10_112837973	0	0.948393712	0.582794882	1.24524386	0.767646508	0.78320802	4122	11704	7893	5782	5341	6384
ADRA2B_chr2_96781529	0	0.743403815	1.036218297	2.114635504	0.759291328	0.490627752	5937	16411	10133	8985	7507	7949
ADRA2C_chr4_3768454	0	2.038425492	1.552547771	5.533938608	1.853612167	1.620825147	1537	4268	2512	2313	2104	2036
ADRB1_chr10_115803924	0	1.243853052	1.919561243	2.832574608	1.191120736	1.242236025	1309	3457	2188	1977	1847	1771
ADRB2_chr5_148206433	0	0.688416642	0.655737705	1.61097852	0.348918353	0.2310803	1149	3341	2135	1676	1433	1731
ADRB3_chr8_37823784	0.036029544	0.891861761	1.798595749	3.183218425	0.479413424	0.585495675	5551	14352	10397	6817	7092	7515
AFF1_chr4_87968234	0	1.672535211	2.893214098	3.900060938	1.058530511	1.277777778	1449	3408	1901	1641	1606	1800
AFF3_chr2_100623259	0	1.203416149	0.877192982	1.735106998	1.203912716	1.253731343	1116	2576	1710	1729	1329	1675
AFF4_chr5_132269971	0	0.608571799	1.101413134	0.897531788	0.353452964	0.727461678	2505	7723	4812	4011	3678	3849
AGTR1_chr3_148459082	0	0.456857167	0.525736643	1.514930808	0.520570949	0.394985403	4448	11601	8179	6865	5955	5823
AGTR2_chrX_115303577	0	1.34196022	1.162040026	4.697712418	1.171508903	1.387137453	1675	4173	3098	2448	2134	2379
AKAP9_chr7_91630467	0	0.194439043	0.272547076	0.447204969	0.151114469	0.402298851	2509	5143	4036	4025	2647	1740
AKT1_chr14_105258956	0.096618357	0.633602797	1.012978791	2.660841938	0.294840295	0.396825397	2070	4577	3159	2518	2035	2520
AKT2_chr19_40748543	0	0.4276226	1.685182874	1.958340751	0.415872466	0.614250614	5102	10991	8011	5617	5771	5698
ALDH2_chr12_112219774	0	0.629632937	1.410203235	3.43492985	0.313602509	0.285195748	7898	22394	14466	12402	10204	11571
ALK_chr2_30143323	0	2.208006603	3.579846788	6.684672519	1.350844278	1.414353064	4272	9692	6788	5924	5330	5727
AMER1_chrX_63412627	0	0.094562648	0.129115558	0	0	0	722	2115	1549	1285	1068	1129
AMHR2_chr12_53819239	0	4.07740152	3.108150967	4.918032787	3.534401508	3.96039604	1798	4341	3153	2013	2122	2121
APC_chr5_112043415	0.069589422	0.461775269	1.275855403	1.671732523	0.254906959	0.29607698	2874	7796	5173	3948	3923	4053
APLNR_chr11_57004206	0	0.258738084	0.275063337	0.684817104	0.107537394	0.259134491	7601	22030	13815	11974	10229	11577
AQP1_chr7_30951644	0	0.496921249	1.240755957	2.231207678	0.562135022	0.460899514	14931	37028	24340	20527	18323	19744
AQP11_chr11_77301334	0	1.805674979	2.466091245	5.507955936	1.53609831	0.676589986	603	1163	811	817	651	739
AQP2_chr12_50344858	0	2.487040596	1.718298224	3.438282176	1.867476657	1.59358047	6115	17169	12105	7591	8889	8848
AQP3_chr9_33447469	0	0.75444147	0.943752359	3.058954394	0.41958042	0.849457291	1678	4109	2649	1798	2145	2119
AQP4_chr18_24442378	0	0.179073932	0.794044665	0.725952813	0.708306504	0.690754516	1104	3909	2015	2204	1553	1882
AQP5_chr12_50355890	0	0.250744397	0.239445495	0.380107697	0.095663265	0.193019141	4959	12762	7935	6314	6272	6217
AQP6_chr12_50367207	0	1.117063718	1.235937252	2.418548871	1.041435852	0.891164202	3703	8773	6311	5003	4513	5274
AQP8_chr16_25228592	0	1.168105637	0.231213873	0.248756219	0.485436893	0	573	1969	865	1206	618	737
AR_chrX_66765069	0	0.247785418	0.285556374	0.566078816	0.190791147	0.133982948	5710	16143	10856	9186	7862	8210
