#Supplementary Data 13 - Total mutation rates observed in K562 with Cas9Sp nuclease				
#Gene	K562 (Control#1)	K562 (CAS9 + gRNA library only)	K562 (Control) - Read Count	K562 (Cas9 + gRNA library only) - Read Count
ABCC8_chr11_17483303	0	0.157977883	1227	4431
ABCC9_chr12_22068672	0	0.098993565	2102	6061
ABI1_chr10_27066055	0	0.060332896	11267	28177
ABL1_chr9_133710887	0	0	1694	4281
ABL2_chr1_179086468	0	0.115651503	1014	2594
ACKR2_chr3_42906210	0	0.111411746	1218	6283
ACKR3_chr2_237489282	0	0.327868852	950	3050
ACSL3_chr2_223783789	0	0.183486239	2074	4905
ACSL6_chr5_131326586	0.084638172	0.125698324	2363	7160
ACVR1_chr2_158636893	0	0	920	3671
ACVR1B_chr12_52369155	0	0.336494341	2836	9807
ACVR1C_chr2_158412719	0	0.285877644	1458	3498
ACVR2A_chr2_148653939	0	0.118539592	812	4218
ACVR2B_chr3_38519728	0	0.662251656	594	1661
ACVRL1_chr12_52307061	0	0.119426752	657	2512
ADCYAP1R1_chr7_31102886	0	0.059787158	2708	8363
ADORA1_chr1_203098271	0	0.093589144	500	2137
ADORA2A_chr22_24829384	0	0.147691788	8126	23698
ADORA2B_chr17_15848574	0	0.10032606	958	3987
ADORA3_chr1_112045892	0	0.227229691	2259	5281
ADRA1A_chr8_26722416	0	0.208793908	3397	8142
ADRA1B_chr5_159343913	0	0.482276344	1929	4147
ADRA1D_chr20_4229574	0	0.139508929	1099	3584
ADRA2A_chr10_112837973	0	0.042432815	3102	7070
ADRA2B_chr2_96781529	0	0.554623075	4080	13703
ADRA2C_chr4_3768454	0	0	1601	4359
ADRB1_chr10_115803924	0	0	995	2470
ADRB2_chr5_148206433	0	0.17211704	1187	2324
ADRB3_chr8_37823784	0	0.151646447	3460	9232
AFF1_chr4_87968234	0	0.229779412	676	2176
AFF3_chr2_100623259	0	0.187734668	896	1598
AFF4_chr5_132269971	0	0.035279591	1630	5669
AGTR1_chr3_148459082	0	0.219047619	3209	10500
AGTR2_chrX_115303577	0	0.050390527	1438	3969
AKAP9_chr7_91630467	0	0.157728707	2115	4438
AKT1_chr14_105258956	0	0.068870523	908	2904
AKT2_chr19_40748543	0	0.164598633	3458	7898
ALDH2_chr12_112219774	0	0.089171975	4811	15700
ALK_chr2_30143323	0	0.144780657	2981	6907
AMER1_chrX_63412627	0	0.520833333	764	2112
AMHR2_chr12_53819239	0	0	1197	4192
APC_chr5_112043415	0	0.573584906	1612	6625
APLNR_chr11_57004206	0	0.197682345	5868	14670
AQP1_chr7_30951644	0	0.064967325	8473	26167
AQP11_chr11_77301334	0	0	723	1665
AQP2_chr12_50344858	0	0.021836445	3124	9159
AQP3_chr9_33447469	0	0	514	2046
AQP4_chr18_24442378	0	0	952	1754
AQP5_chr12_50355890	0	0.113032666	3273	8847
AQP6_chr12_50367207	0	0.291724244	2918	6513
AQP8_chr16_25228592	0	0.280636109	585	1069
AR_chrX_66765069	0	0.25743232	3913	12042
ARHGAP26_chr5_142150335	0	0.353063344	1527	4815
ARHGEF12_chr11_120298841	0	0	866	1651
ARID1A_chr1_27023186	0.27739251	0.146735143	721	1363
ARNT_chr1_150830829	0.116414435	0.18895654	1718	4763
ASIC1_chr12_50452585	0	0.146145415	800	2737
ASIC2_chr17_32483445	0	1.303780965	1200	3835
ASIC3_chr7_150746033	0	0.199558121	4452	14031
ASIC4_chr2_220379188	0	0.406428967	2069	5413
ASIC5_chr4_156784776	0	0.173611111	717	1728
ASPSCR1_chr17_79935570	0	0.055964929	3575	10721
ASXL1_chr20_31017717	0	0.71524363	2438	6711
ATF1_chr12_51203342	0	0	910	3586
ATIC_chr2_216177226	0	0.810810811	184	740
ATM_chr11_108098387	0	0	221	501
ATRX_chrX_76939487	0	0	343	1903
AVPR1A_chr12_63544475	0	0.418289341	2722	6933
AVPR1B_chr1_206224578	0	0.247985121	2162	8065
AVPR2_chrX_153171258	0.136239782	0.347648262	1468	4890
AXIN1_chr16_396971	0	0.282336333	4597	11334
AXL_chr19_41737159	0	0	1319	3792
BAI1_chr8_143545709	0	0.126470216	2394	7907
BAI2_chr1_32222183	0	0	377	878
BAI3_chr6_69665954	0	0.062881782	4408	11132
BCL11A_chr2_60773135	0	0	628	1420
BCL11B_chr14_99724132	0	0.889679715	794	2248
BCL2_chr18_60985591	0	0	463	1362
BCL3_chr19_45259572	0	0	375	1985
BCL6_chr3_187451455	0	0	1326	5144
BCL7A_chr12_122460008	0	0	463	1346
BCL9_chr1_147091035	0	0.293589953	1791	6131
BCOR_chrX_39937147	0	0.095026924	4118	12628
BCR_chr22_23523150	0	0.076628352	713	2610
BDKRB1_chr14_96730211	0	0.508373206	883	3344
