name total_count mutated_count Mutation_frequency_(%) total_count mutated_count Mutation_frequency_(%) P_value
On-target 43222 86 0.198972745 14583 12731 87.30028115 < 1E-100
VEGF-A_1 43307 0 0 45090 0 0 1
VEGF-A_2 55144 12 0.021761207 33350 4 0.011994003 N.A.
VEGF-A_3 57317 10 0.017446831 33818 2339 6.916435035 2.87E-77
VEGF-A_4 6347 18 0.28359855 7126 14 0.196463654 N.A.
VEGF-A_5 46752 2 0.004277892 30672 0 0 N.A.
VEGF-A_6 44540 2 0.004490346 36846 0 0 N.A.
VEGF-A_7 50098 7 0.013972614 42630 5 0.011728829 N.A.
VEGF-A_8 45834 254 0.554173757 39704 208 0.523876687 N.A.
VEGF-A_9 42680 5 0.011715089 32185 2 0.006214075 N.A.
VEGF-A_10 42677 0 0 42681 0 0 1
VEGF-A_11 49828 0 0 42190 0 0 1
VEGF-A_12 39035 9 0.023056232 35110 10 0.028481914 0.654519017
VEGF-A_13 47309 2 0.004227525 37076 0 0 N.A.
VEGF-A_14 54625 3 0.005491991 45189 2 0.004425856 N.A.
VEGF-A_15 51509 0 0 28017 3 0.010707785 0.043753736
VEGF-A_16 41983 0 0 43092 2 0.004641233 0.50032982
VEGF-A_17 46421 0 0 45701 0 0 1
VEGF-A_18 47456 2 0.00421443 31671 3 0.009472388 0.395525157
VEGF-A_19 46579 2 0.00429378 39428 6 0.015217612 0.15412147
VEGF-A_20 55505 2 0.003603279 45194 2 0.004425366 1
VEGF-A_21 46280 4 0.008643042 44409 2 0.004503592 N.A.
VEGF-A_22 54559 4 0.007331513 42955 3 0.006984053 N.A.
VEGF-A_24 47263 3 0.00634746 38821 7 0.018031478 0.126059184
VEGF-A_25 42334 0 0 44165 2 0.004528473 0.500469242
VEGF-A_26 37644 9 0.023908193 44227 611 1.381509033 3.43E-15
VEGF-A_27 39697 0 0 31928 8 0.025056377 0.001560794
VEGF-A_28 50934 0 0 48338 0 0 1
VEGF-A_29 25603 2 0.007811585 14115 2 0.014169323 0.619324961
VEGF-A_30 51100 5 0.009784736 46049 4 0.008686399 N.A.
VEGF-A_31 44173 9 0.020374437 17307 5 0.028890044 0.555608012
VEGF-A_32 13226 0 0 14911 2 0.013412917 0.50203072
VEGF-A_34 47562 10 0.021025188 23104 4 0.017313019 N.A.
VEGF-A_35 50947 6 0.011776945 43821 38 0.086716415 4.92E-08
VEGF-A_36 51258 0 0 46352 0 0 1
VEGF-A_38 50240 0 0 29482 0 0 1
VEGF-A_39 43424 0 0 35266 0 0 1
VEGF-A_40 39187 0 0 34473 0 0 1
VEGF-A_41 51483 0 0 34379 0 0 1
VEGF-A_42 317 0 0 290 0 0 1
VEGF-A_43 48353 58 0.119951192 36714 56 0.15253037 0.21878281
VEGF-A_44 43134 48 0.111281124 35305 39 0.11046594 N.A.
VEGF-A_46 37261 0 0 34672 0 0 1
VEGF-A_47 45855 35 0.076327554 33753 33 0.097769087 0.327251419
VEGF-A_48 7398 0 0 33435 6 0.017945267 0.599985158
VEGF-A_49 36650 8 0.021828104 39908 12 0.030069159 0.511183743
VEGF-A_50 39932 55 0.137734148 22536 45 0.199680511 0.075921633
VEGF-A_51 33982 25 0.07356836 32315 31 0.095930682 0.350767187
VEGF-A_52 36453 89 0.244150001 33177 43 0.129607861 N.A.
VEGF-A_53 33959 0 0 36816 2 0.005432421 0.5010596
VEGF-A_54 38077 4 0.010505029 37175 6 0.016139879 0.544166687
VEGF-A_55 36334 0 0 39939 0 0 1
VEGF-A_56 33699 0 0 37569 2 0.005323538 0.501719931
VEGF-A_57 39853 2 0.005018443 38163 6 0.015722034 0.1709386
VEGF-A_58 22468 2 0.008901549 33868 137 0.404511633 1.71E-15
VEGF-A_59 40194 0 0 40365 0 0 1
VEGF-A_60 39259 38 0.096793092 40871 63 0.154143525 0.027959609
VEGF-A_61 39519 0 0 42299 2 0.004728244 0.500822623
VEGF-A_62 47334 8 0.01690117 28951 10 0.034541121 0.146474042
VEGF-A_63 40944 0 0 39545 519 1.312428878 2.48E-15
VEGF-A_64 48264 0 0 36917 2 0.005417558 0.187933743
VEGF-A_65 46615 0 0 41429 0 0 1
VEGF-A_66 48055 0 0 40256 0 0 1
VEGF-A_67 48810 188 0.385166974 25832 20506 79.38216166 < 1E-100
VEGF-A_68 36976 13 0.03515794 8389 10 0.119203719 0.005049085
VEGF-A_69 41602 5 0.012018653 37286 4 0.010727887 N.A.
VEGF-A_70 51812 0 0 39835 0 0 1
VEGF-A_72 45175 0 0 40952 0 0 1
VEGF-A_73 46212 6 0.012983641 39639 8 0.020182144 0.434506827
VEGF-A_75 42069 4 0.009508189 37076 2 0.005394325 N.A.
VEGF-A_76 32525 9 0.027671022 31506 2417 7.671554625 2.91E-15
VEGF-A_77 21939 2 0.009116186 26671 4 0.014997563 0.6963108
VEGF-A_78 45273 2 0.004417644 39922 6 0.015029307 0.158349614
VEGF-A_79 35841 0 0 26544 0 0 1
VEGF-A_80 52315 39 0.074548409 41427 44 0.106210925 0.121392217
VEGF-A_81 43875 0 0 36742 0 0 1
VEGF-A_82 43893 2 0.004556535 34491 3 0.008697921 0.660050746
VEGF-A_83 35349 0 0 23998 2 0.008334028 0.163607168
VEGF-A_84 36680 47 0.128135224 27281 1079 3.955133609 4.03E-15
VEGF-A_85 34973 4 0.011437395 29565 4 0.013529511 1
VEGF-A_86 34877 0 0 30964 0 0 1
